Code.essai;Date;Observateurs;Scribe;Stade.phenologique;Maladie;Organe;Placette;Bloc;X.;Valeur
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;38;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;39;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;40;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;41;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;42;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;43;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;44;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;45;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;46;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;47;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;48;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;49;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;50;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;51;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;52;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;53;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;54;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;55;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;56;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;57;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;58;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;59;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;60;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;61;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;62;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;63;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;64;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;65;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;66;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;67;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;68;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;69;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;70;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;71;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;72;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;73;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;74;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;75;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;76;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;77;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;78;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;79;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;80;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;81;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;82;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;83;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;84;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;85;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;86;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;87;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;88;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;89;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;90;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;91;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;92;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;93;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;94;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;95;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;96;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;97;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;98;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;99;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;A10;A;100;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;1;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;2;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;3;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;4;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;5;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;6;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;7;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;8;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;9;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;10;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;11;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;12;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;13;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;14;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;15;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;16;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;17;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;18;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;19;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;20;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;21;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;22;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;23;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;24;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;25;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;26;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;27;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;28;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;29;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;30;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;31;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;32;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;33;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;34;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;35;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;36;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;37;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;38;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;39;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;40;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;41;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;42;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;43;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;44;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;45;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;46;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;47;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;48;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;49;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;50;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;51;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;52;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;53;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;54;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;55;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;56;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;57;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;58;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;59;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;60;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;61;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;62;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;63;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;64;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;65;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;66;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;67;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;68;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;69;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;70;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;71;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;72;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;73;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;74;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;75;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;76;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;77;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;78;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;79;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;80;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;81;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;82;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;83;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;84;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;85;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;86;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;87;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;88;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;89;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;90;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;91;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;92;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;93;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;94;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;95;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;96;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;97;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;98;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;99;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;B10;B;100;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;1;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;2;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;3;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;4;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;5;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;6;9
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;7;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;8;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;9;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;10;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;11;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;12;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;13;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;14;7
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;15;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;16;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;17;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;18;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;19;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;20;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;21;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;22;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;23;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;24;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;25;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;26;12
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;27;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;28;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;29;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;30;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;31;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;32;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;33;10
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;34;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;35;8
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;36;8
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;37;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;38;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;39;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;40;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;41;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;42;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;43;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;44;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;45;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;46;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;47;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;48;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;49;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;50;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;51;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;52;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;53;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;54;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;55;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;56;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;57;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;58;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;59;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;60;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;61;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;62;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;63;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;64;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;65;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;66;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;67;8
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;68;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;69;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;70;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;71;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;72;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;73;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;74;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;75;7
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;76;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;77;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;78;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;79;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;80;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;81;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;82;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;83;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;84;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;85;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;86;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;87;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;88;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;89;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;90;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;91;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;92;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;93;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;94;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;95;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;96;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;97;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;98;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;99;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;C10;C;100;0
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;1;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;2;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;3;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;4;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;5;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;6;6
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;7;5
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;8;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;9;1
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;10;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;11;4
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;12;3
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;13;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;14;2
teisso_2024;17/06/2024;ET ML;BD;71;Mildiou;Feuille;D10;D;15;4
